TAG,Pump_Control:AOI,Rate_Tare,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Starting_Weight,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"Pump_Control:AOI","Logic","Set the Default Cal Factor","MOV(1,Treater_Pump.Product.Cal_Factor)","0"
RCOMMENT,"Pump_Control:AOI","Logic","See If the operator is fine Tuning System","CPT(Treater_Pump.Product.Cal_Factor,(Treater_Pump.Product.Cal_Indicated/Treater_Pump.Product.Cal_Actual)*Treater_Pump.Product.Cal_Factor)","1"
RCOMMENT,"Pump_Control:AOI","Logic","All The Pump Logic","OTU(Treater_Pump.Start_Pump_Reverse)","3"
RCOMMENT,"Pump_Control:AOI","Logic","Edit Treater Product","OTE(Reset_New_Product)","10"
RCOMMENT,"Pump_Control:AOI","Logic","Clear Fault In Drive","OTU(Treater_Pump.Clear_Faults)","14"
RCOMMENT,"Pump_Control:AOI","Logic","Output showing pump is faulted","OTE(Treater_Pump.Faulted)","15"
RCOMMENT,"Pump_Control:AOI","Logic","Set Drive Speed","MOV(Treater_Pump.Speed,Pump_Drive_Out.FreqCommand)","16"
RCOMMENT,"Pump_Control:AOI","Logic","Current Speed Of Pump from 0 to 9000","MOV(Pump_Drive_In.OutputFreq,Treater_Pump.Current_Speed)","17"
RCOMMENT,"Pump_Control:AOI","Logic","To get the rpm of the motor we need to have a speed factor to multliply the freq drive frequency by.$NIf the pump speed factor is 0 then we will use a default value","MOV(0.066,Treater_Pump.Speed_Factor)","18"
RCOMMENT,"Pump_Control:AOI","Logic","Set the Pumps RPM","MUL(Treater_Pump.Current_Speed,Treater_Pump.Speed_Factor,Treater_Pump.Current_RPM)","19"
RCOMMENT,"Pump_Control:AOI","Logic","*******************Pump Calibration *************************$N$N $N$NIf The Cal Speeds are zero then set to default ","MOV(0,Treater_Pump.Cal.Cal_Points.Cal_Point[0].Speed)","24"
RCOMMENT,"Pump_Control:AOI","Logic","Reset the Calibration Points to zero","OTU(Treater_Pump.Cal.Reset_Cal)","34"
RCOMMENT,"Pump_Control:AOI","Logic","Reset the cal points sum and add cal pumps to verify calibration","MOV(0,CalPointSum)","35"
RCOMMENT,"Pump_Control:AOI","Logic","If the sum of the rates equals zero pump calibration required","OTE(Treater_Pump.Cal.Cal_Rqd)","41"
